time;V(Net-_D1-K_);V(Net-_U2-+_);
0.0118024;11.8187;5.89585;
0.0118224;11.814;5.9671;
0.0118424;11.8092;6.03821;
0.0118624;11.8045;6.10917;
0.0118824;11.7998;6.18;
0.0119024;11.7951;6.25068;
0.0119224;11.7904;6.32122;
0.0119424;11.7856;6.39162;
0.0119624;11.7809;6.46188;
0.0119824;11.7762;6.532;
0.012;11.7721;6.59359;
0.0120001;11.7721;6.59459;
0.0120003;11.772;6.59626;
0.0120007;11.7719;6.59796;
0.012001;11.7718;6.59805;
0.0120011;11.7718;6.59736;
0.0120012;11.7718;6.59607;
0.0120016;11.7717;6.59393;
0.0120022;11.7716;6.59045;
0.0120035;11.7713;6.5842;
0.012006;11.7707;6.57185;
0.0120112;11.7694;6.54711;
0.0120214;11.767;6.49769;
0.0120414;11.7623;6.40129;
0.0120614;11.7576;6.3051;
0.0120814;11.7529;6.2091;
0.0121014;11.7482;6.11329;
0.0121214;11.7435;6.01766;
0.0121414;11.7388;5.92224;
0.0121614;11.7341;5.827;
0.0121814;11.7294;5.73195;
0.0122014;11.7248;5.63709;
0.0122214;11.7201;5.54243;
0.0122414;11.7154;5.44794;
0.0122614;11.7107;5.35366;
0.0122814;11.706;5.25955;
0.0123014;11.7013;5.16564;
0.0123214;11.6966;5.07191;
0.0123414;11.692;4.97837;
0.0123614;11.6873;4.88502;
0.0123814;11.6826;4.79185;
0.0124014;11.6779;4.69887;
0.0124214;11.6733;4.60608;
0.0124414;11.6686;4.51347;
0.0124614;11.6639;4.42105;
0.0124814;11.6593;4.32881;
0.0125014;11.6546;4.23676;
0.0125214;11.65;4.14488;
0.0125414;11.6453;4.0532;
0.0125614;11.6406;3.96169;
0.0125814;11.636;3.87037;
0.0126014;11.6313;3.77923;
0.0126214;11.6267;3.68828;
0.0126414;11.622;3.5975;
0.0126614;11.6174;3.50691;
0.0126814;11.6127;3.4165;
0.0127014;11.6081;3.32627;
0.0127214;11.6034;3.23622;
