time;V(Net-_C3-Pad1_);
0.0134214;-5.76162;
0.0134414;-5.76094;
0.0134614;-5.76025;
0.0134814;-5.75957;
0.013501;-5.75889;
0.0135011;-5.75889;
0.0135013;-5.75888;
0.0135017;-5.75887;
0.013502;-5.75886;
0.0135021;-5.75886;
0.0135022;-5.75885;
0.0135026;-5.75884;
0.0135032;-5.75882;
0.0135045;-5.75877;
0.013507;-5.75868;
0.0135122;-5.75851;
0.0135224;-5.75816;
0.0135424;-5.75747;
0.0135624;-5.75678;
0.0135824;-5.75609;
0.0136024;-5.7554;
0.0136224;-5.7547;
0.0136424;-5.75401;
0.0136624;-5.75332;
0.0136824;-5.75262;
0.0137024;-5.75193;
0.0137224;-5.75123;
0.0137424;-5.75053;
0.0137624;-5.74983;
0.0137824;-5.74913;
0.0138024;-5.74843;
0.0138224;-5.74773;
0.0138424;-5.74703;
0.0138624;-5.74633;
0.0138824;-5.74562;
0.0139024;-5.74492;
0.0139224;-5.74421;
0.0139424;-5.7435;
0.0139624;-5.7428;
0.0139824;-5.74209;
0.014;-5.74146;
0.0140001;-5.74146;
0.0140003;-5.74145;
0.0140007;-5.74144;
0.014001;-5.74143;
0.0140011;-5.74142;
0.0140012;-5.74142;
0.0140016;-5.74141;
0.0140022;-5.74138;
0.0140035;-5.74134;
0.014006;-5.74125;
0.0140112;-5.74107;
0.0140214;-5.7407;
0.0140414;-5.73999;
0.0140614;-5.73928;
0.0140814;-5.73857;
0.0141014;-5.73785;
0.0141214;-5.73714;
0.0141414;-5.73642;
0.0141614;-5.7357;
0.0141814;-5.73499;
0.0142014;-5.73427;
0.0142214;-5.73355;
0.0142414;-5.73283;
0.0142614;-5.73211;
0.0142814;-5.73139;
0.0143014;-5.73066;
0.0143214;-5.72994;
0.0143414;-5.72921;
0.0143614;-5.72849;
0.0143814;-5.72776;
0.0144014;-5.72703;
0.0144214;-5.72631;
0.0144414;-5.72558;
0.0144614;-5.72485;
0.0144814;-5.72412;
0.014501;-5.7234;
0.0145011;-5.7234;
0.0145013;-5.72339;
0.0145017;-5.72337;
0.014502;-5.72336;
0.0145021;-5.72336;
0.0145022;-5.72335;
0.0145026;-5.72334;
0.0145032;-5.72332;
0.0145045;-5.72327;
0.014507;-5.72318;
0.0145122;-5.72299;
0.0145224;-5.72261;
0.0145424;-5.72188;
0.0145624;-5.72115;
0.0145824;-5.72041;
0.0146024;-5.71967;
0.0146224;-5.71894;
0.0146424;-5.7182;
0.0146624;-5.71746;
0.0146824;-5.71672;
0.0147024;-5.71598;
0.0147224;-5.71524;
0.0147424;-5.7145;
0.0147624;-5.71375;
0.0147824;-5.71301;
